kind,wmape_3m,wmape_14d,wmape_all,bias_3m,applied,rolling,stat,beta,hours,gate,thr,delta_3m,delta_14d,delta_all
hour,6.325662728094433,11.069372274695521,6.385414751701068,-50.47527222848231,391,21,median,-0.2,10-16,wmape,15,-0.002749514986816415,-0.005243606329313977,-0.00271502239104926
hour,6.325662728094433,11.069372274695521,6.385414751701068,-50.47527222848231,391,21,median,-0.2,10-18,wmape,15,-0.002749514986816415,-0.005243606329313977,-0.00271502239104926
hour,6.325663571899351,11.077753202567123,6.385415584920475,-50.11945051836143,72,5,median,-0.1,11-15,absbias,250,-0.0027486711818989207,0.003137321542288518,-0.0027141891716429
hour,6.325676600758048,11.075418684237198,6.38542845033247,-48.3180040110528,521,55,mean,0.05,10-16,wmape,20,-0.002735642323201226,0.0008028032123625906,-0.0027013237596476003
hour,6.325676600758048,11.075418684237198,6.38542845033247,-48.3180040110528,521,55,mean,0.05,10-18,wmape,20,-0.002735642323201226,0.0008028032123625906,-0.0027013237596476003
day,6.325682269071464,11.092231763629242,6.3854340475370375,-48.95245725282173,119,1,mean,0.1,10-16,absbias,250,-0.002729974009785252,0.017615882604406607,-0.0026957265550802134
hour,6.325698957485967,11.069255313798063,6.385450526595804,-51.349092469930795,480,5,median,-0.2,10-16,wmape,10,-0.0027132855952824997,-0.005360567226771806,-0.0026792474963137636
hour,6.325707995310805,11.075691107756418,6.38545945104136,-48.672451608666265,454,21,mean,0.05,10-16,wmape,35,-0.0027042477704446455,0.001075226731583001,-0.0026703230507578724
hour,6.325707995310805,11.075691107756418,6.38545945104136,-48.672451608666265,454,21,mean,0.05,10-18,wmape,35,-0.0027042477704446455,0.001075226731583001,-0.0026703230507578724
hour,6.32572742160325,11.07638928933456,6.385478633631458,-49.247563305094396,2208,13,mean,0.05,all,none,0,-0.002684821477999755,0.0017734083097256104,-0.0026511404606592848
hour,6.325747663893426,11.076135716225762,6.3854986219826175,-49.247658823168685,2208,21,mean,0.05,all,none,0,-0.002664579187823257,0.0015198352009271332,-0.0026311521095001567
hour,6.325752869629059,11.073862109249834,6.385503762412428,-51.37289235070313,460,55,median,-0.3,11-15,none,0,-0.002659373452190472,-0.0007537717750008,-0.002626011679689455
hour,6.325757422110069,11.075418684237198,6.385508257782681,-48.49381644087498,448,55,mean,0.05,10-16,wmape,35,-0.002654820971180527,0.0008028032123625906,-0.0026215163094365224
hour,6.325757422110069,11.075418684237198,6.385508257782681,-48.49381644087498,448,55,mean,0.05,10-18,wmape,35,-0.002654820971180527,0.0008028032123625906,-0.0026215163094365224
hour,6.325758043513276,11.074871448646318,6.3855088713904,-50.61081431797523,353,34,median,-0.3,11-15,wmape,15,-0.0026541995679734143,0.00025556762148326584,-0.0026209027017181086
hour,6.3257709730011795,11.074625748502315,6.385521638678206,-50.301199874391294,402,5,median,-0.1,11-15,wmape,10,-0.0026412700800699795,9.867477480440812e-06,-0.002608135413911583
day,6.325774971841211,11.074924552976475,6.385525587352888,-49.067578573338096,828,34,mean,0.1,10-18,none,0,-0.00263727124003843,0.00030867195163963856,-0.0026041867392292417
day,6.3257799974089925,11.07499068742468,6.38553054987505,-49.431281811031994,1104,21,mean,0.05,7-18,none,0,-0.00263224567225695,0.00037480639984543984,-0.0025992242170680413
hour,6.325811468074459,11.080498561447449,6.3855616257418175,-48.24634295995547,449,21,mean,0.05,10-18,absbias,100,-0.0026007750067904567,0.005882680422613973,-0.00256814835030017
hour,6.325811637583528,11.069866570479128,6.3855617931244,-49.04238493667599,2208,34,mean,0.05,all,none,0,-0.0026006054977214532,-0.00474931054570682,-0.002567980967717709
day,6.325820432943565,11.055303076313976,6.3855704781468665,-49.54077517498765,24,14,mean,0.5,all,wmape,12,-0.0025918101376847247,-0.019312804710859055,-0.002559295945251172
hour,6.325831220208615,11.07444972751332,6.385581130085952,-48.5340561910002,603,55,mean,0.05,all,wmape,25,-0.0025810228726346196,-0.00016615351151472169,-0.0025486440061657234
hour,6.325835911680161,11.073862109249834,6.385585762703107,-50.670709662366384,356,55,median,-0.3,11-15,wmape,15,-0.002576331401088261,-0.0007537717750008,-0.0025440113890109473
hour,6.325842742926747,11.068047032436338,6.385592508251879,-50.62226367479396,330,13,median,-0.3,10-16,wmape,20,-0.00256950015450208,-0.006568848588496934,-0.0025372658402389447
hour,6.325842742926747,11.068047032436338,6.385592508251879,-50.62226367479396,330,13,median,-0.3,10-18,wmape,20,-0.00256950015450208,-0.006568848588496934,-0.0025372658402389447
day,6.325842954408016,11.076080391979168,6.385592717080119,-49.44700770601275,1104,14,mean,0.05,7-18,none,0,-0.002569288673233139,0.00146451095433342,-0.002537057011998911
