kind,wmape_3m,wmape_14d,wmape_all,bias_3m,low,summer_low,cap_spike,evening,applied,rolling,stat,beta,hours,gate,thr,group_by,delta_3m,delta_14d
group,6.320333792162122,11.082007387384959,6.380152667134857,-47.36924809766878,49.79465178092404,35.34630356020114,1.5505500562664434,2.9446944417686596,299,5,median,0.2,10-18,wmape,20,"hour,source_bin,weekend",-0.008078450919127178,0.007391506360123756
group,6.320356026753636,11.07862294797218,6.380174622793984,-48.255703480108764,48.72831303413353,34.48158761538587,1.5505500562664434,2.9446944417686596,332,3,median,0.1,10-16,wmape,15,"hour,source_bin,weekend",-0.008056216327613441,0.004007066947345095
group,6.320366183733515,11.059890516793098,6.380184652354807,-49.36283063436181,48.87698086842338,34.45493841239404,1.56308529850348,2.943259106722385,956,5,median,0.05,all,absbias,100,"hour,source_ratio_bin",-0.008046059347734058,-0.014725364231736648
group,6.320370338438637,11.10008393460803,6.380188754939259,-48.285819491448386,48.94974918068794,34.84061011881585,1.5505500562664434,2.9446944417686596,351,3,median,0.1,10-18,absbias,100,"hour,source_bin",-0.008041904642612785,0.025468053583194816
group,6.320425184081733,11.108186787812341,6.380242912545155,-44.940051144004244,50.53773202678029,36.05996718404035,1.5505500562664434,2.9446944417686596,778,8,mean,0.2,10-18,none,0,"hour,source_bin",-0.00798705899951635,0.033570906787506516
group,6.320443149248972,11.085640042207363,6.380260652339826,-48.081034296087424,49.015418704836385,34.64213274820197,1.5505500562664434,2.9446944417686596,403,2,mean,0.05,7-18,absbias,250,"hour,source_ratio_bin",-0.007969093832277174,0.011024161182527692
group,6.320443149248972,11.085640042207363,6.380260652339826,-48.081034296087424,49.015418704836385,34.64213274820197,1.5505500562664434,2.9446944417686596,403,2,median,0.05,7-18,absbias,250,"hour,source_ratio_bin",-0.007969093832277174,0.011024161182527692
group,6.320444147371446,11.106217203405828,6.380261637940879,-47.46411751359505,49.40160637788335,35.339057596735806,1.5505500562664434,2.9446944417686596,543,8,mean,0.1,7-18,absbias,100,"hour,source_bin,weekend",-0.007968095709803613,0.031601322380993224
group,6.320484738180045,11.100390160379254,6.380301719538814,-48.05386608011288,49.14934611928993,35.015240020434724,1.5505500562664434,2.9446944417686596,317,3,mean,0.1,10-18,wmape,20,"hour,source_bin,weekend",-0.007927504901204863,0.025774279354418894
group,6.32050771853547,11.084905000031577,6.380324411606263,-49.088988861480445,48.84974460970574,34.5585246384883,1.558206284876009,2.947186893312748,456,2,mean,0.05,all,wmape,20,"hour,source_ratio_bin",-0.007904524545779168,0.010289119006742453
group,6.32050771853547,11.084905000031577,6.380324411606263,-49.088988861480445,48.84974460970574,34.5585246384883,1.558206284876009,2.947186893312748,456,2,median,0.05,all,wmape,20,"hour,source_ratio_bin",-0.007904524545779168,0.010289119006742453
