wmape_3m,wmape_14d,wmape_all,hours,metric,threshold,alpha,applied,delta_3m,delta_14d
7.03560502292724,12.820767399085426,7.0881257544863585,midday,absdiff_le,750.0,-0.1,299,-0.0033084411730532892,-0.031546684919458556
7.03561335536687,12.840474969287797,7.08848496134623,evening,absdiff_le,200.0,0.7,106,-0.003300108733423457,-0.01183911471708754
7.035638601505129,12.859798030298172,7.088509890772326,peakerr,absdiff_le,150.0,0.2,264,-0.0032748625951644073,0.0074839462932878575
7.035640659246517,12.83010479482258,7.087959887652683,midday,absdiff_le,300.0,-0.25,201,-0.0032728048537764565,-0.022209289182304914
7.035640924057732,12.842329367116356,7.088512184188565,evening,absdiff_le,200.0,0.55,106,-0.0032725400425617224,-0.009984716888528311
7.035646920408012,12.849790240008863,7.088518105314784,midday,absdiff_le,50.0,0.55,93,-0.0032665436922814095,-0.0025238439960215686
7.03569296618954,12.850318788507536,7.0885635734531505,peakerr,absdiff_le,50.0,0.4,159,-0.003220497910753295,-0.0019952954973483372
7.0357554043399775,12.851456489065535,7.088625228318576,peakerr,absdiff_le,100.0,0.15,221,-0.003158059760315801,-0.0008575949393492266
7.03581712302588,12.854238656816339,7.088686172745128,all,reldiff_le,0.01,0.1,399,-0.003096341074413367,0.0019245728114540839
7.0358566677767325,12.850287536189487,7.088725221408085,night,absdiff_le,50.0,0.55,99,-0.0030567963235608175,-0.0020265478153973504
7.035900324425101,12.849036697664598,7.088768330384906,night,ratio_le,0.02,0.2,126,-0.0030131396751924555,-0.0032773863402866255
7.035957674469024,12.852073355189066,7.088824960973983,peakerr,ratio_le,0.01,0.55,86,-0.002955789631268857,-0.00024072881581815864
