rolling,beta,hours,gate,thr,applied,wmape_3m,wmape_14d,wmape_all,bias_3m,delta_3m,delta_14d,delta_all
21,0.05,peakerr,none,0,1196,6.102294279106918,10.644771649020193,6.164848454240253,-38.905169479969494,-0.002428784641367976,0.0004597953957983236,-0.002398315599648093
1,0.05,day,wmape,10,63,6.102304677718245,10.646451159106297,6.164858722401266,-38.85411477259409,-0.002418386030040409,0.0021393054819025537,-0.002388047438635077
21,0.2,peakerr,none,0,1196,6.102338834942966,10.646498918446161,6.164892451124466,-38.419077920510176,-0.0023842288053197436,0.002187064821766782,-0.0023543187154349
1,0.2,midday,absbias,250,102,6.102352421503951,10.683360192214824,6.164905867242386,-37.95608132900362,-0.0023706422443350306,0.039048338590429665,-0.002340902597514294
1,0.05,coremid,wmape,10,45,6.102364025742481,10.64033588999534,6.164917325906041,-38.904321617239376,-0.0023590380058049476,-0.003975963629054391,-0.0023294439338599204
3,0.1,coremid,wmape,10,65,6.102400544673062,10.640892049379683,6.164953386707563,-39.053100411730725,-0.002322519075224072,-0.003419804244710889,-0.00229338313233729
3,0.1,day,none,0,644,6.102420924330505,10.649636227595854,6.164973510702721,-38.29448180656978,-0.0023021394177806798,0.005324373971459906,-0.002273259137179906
3,0.3,nooneve,wmape,15,19,6.102435859904155,10.627268814655851,6.164988258909979,-39.629431911432725,-0.002287203844130836,-0.0170430389685432,-0.0022585109299217976
1,0.1,day,wmape,10,63,6.10244085022534,10.658468170463566,6.1649931866277115,-38.640303632548296,-0.00228221352294522,0.014156316839171623,-0.0022535832121892696
5,0.05,peakerr,none,0,1196,6.102446842239897,10.646900505776955,6.164999103472598,-38.59213387686404,-0.002276221508388687,0.0025886521525606554,-0.0022476663673023367
14,0.2,peakerr,absbias,100,208,6.102453081149947,10.644311853624394,6.1650052641156785,-39.332184228064385,-0.002269982598338771,0.0,-0.0022415057242222147
3,0.05,midday,none,0,552,6.102504763753366,10.647049894816671,6.165056298362149,-38.734285649553385,-0.002218299994919626,0.002738041192277052,-0.002190471477751643
8,-0.1,all,wmape,10,288,6.10252408363959,10.62192801315004,6.165075375880892,-38.75054378149703,-0.0021989801086954586,-0.0223838404743546,-0.002171393959009116
3,1.5,peakerr,wmape,15,13,6.102563575833084,10.628220486523334,6.165114372645819,-40.66278395884823,-0.0021594879152013746,-0.016091367101060072,-0.0021323971940816477
3,0.8,peakerr,wmape,15,13,6.102574373077686,10.628300941905993,6.165125034439261,-39.97561136001702,-0.002148690670599862,-0.016010911718401744,-0.002121735400639757
3,0.2,midday,absbias,250,72,6.102580073334121,10.654617431256892,6.165130663186124,-38.400557274987456,-0.0021429904141649914,0.010305577632497176,-0.002116106653776484
14,2.0,all,wmape,12,24,6.1026113682971,10.628576610805261,6.165161565554586,-38.35303219626485,-0.0021116954511857244,-0.015735242819133077,-0.002085204285315001
5,-0.2,coremid,absbias,250,45,6.102645579264236,10.644438926620557,6.165195347346006,-39.05212172353863,-0.002077484484050096,0.00012707299616288026,-0.0020514224938947834
3,0.5,peakerr,wmape,15,13,6.102653243529846,10.62888864299484,6.165202915463598,-39.64345584202111,-0.0020698202184394887,-0.015423210629554873,-0.002043854376302612
3,0.1,midday,absbias,250,72,6.102673204623094,10.645994161850037,6.1652226261454395,-38.74152794673645,-0.002049859125191844,0.00168230822564297,-0.0020241436944612445
1,0.05,midday,wmape,12,30,6.102674058871,10.644704944245957,6.165223469676826,-38.88134197030384,-0.002049004877285654,0.000393090621562564,-0.002023300163074282
